"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"312","MHL",2019,26.3,31.6,14.7,NA
"313",NA,2000,52.72909074,73.08377901,31.98545078,301
"314",NA,2019,26.61588924,35.03992027,17.1073365,NA
"315","MKD",2000,14.3,16,9.6,13
"316","MKD",2019,6,6.8,4.5,NA
"317","MLI",2000,101.5,187.4,51,836
"318","MLI",2019,60.3,94.2,32.3,NA
"319","MLT",2000,6.9,7.8,5.2,9
"320","MLT",2019,5.7,6.5,4.3,NA
"321","MMR",2000,65.4,89.6,37.6,340
"322","MMR",2019,36.1,45.2,22.9,NA
"323",NA,2000,36.73084467,46.00006747,22.70883547,106
"324",NA,2019,19.62252894,23.69692941,13.17658373,NA
"325","MNE",2000,12.5,14.2,8.6,12
"326","MNE",2019,2.1,2.6,1.3,NA
"327","MNG",2000,48.6,63.5,23.7,155
"328","MNG",2019,13.8,16,8.3,NA
"329","MNP",2000,NA,NA,NA,NA
"330","MNP",2019,NA,NA,NA,NA
"331","MOZ",2000,112.4,170.4,46.6,798
"332","MOZ",2019,54.3,72.9,28.9,NA
"333","MRT",2000,69.1,112.5,42.5,834
"334","MRT",2019,50.2,73,31.8,NA
"335","MUS",2000,16.6,18.8,12.4,59
"336","MUS",2019,14.3,16,10.1,NA
"337","MWI",2000,100.5,174.6,39.1,749
"338","MWI",2019,30.1,40.6,19.7,NA
"339","MYS",2000,8.7,10.2,4.8,38
"340","MYS",2019,7.3,8.6,4.6,NA
"341",NA,2000,7,8.3,4.6,12
"342",NA,2019,5.4,6.3,3.5,NA
"343","NAM",2000,45,75.8,23.4,348
"344","NAM",2019,30.9,41.9,20.5,NA
"345","NCL",2000,NA,NA,NA,NA
"346","NCL",2019,NA,NA,NA,NA
"347","NER",2000,97,224.9,43,813
"348","NER",2019,46.7,80.3,24.6,NA
"349","NGA",2000,109.8,182.9,46.4,1200
"350","NGA",2019,74,116.9,35.9,NA
"351","NIC",2000,31.4,38.5,16.8,162
"352","NIC",2019,14.3,16.6,9.8,NA
"353","NLD",2000,5.1,6.2,3.8,13
"354","NLD",2019,3.5,4.1,2.7,NA
"355","NOR",2000,3.9,4.9,2.7,6
"356","NOR",2019,1.9,2.3,1.4,NA
"357","NPL",2000,58.7,79.1,39.3,553
"358","NPL",2019,24.5,29.3,17.5,NA
"359","NRU",2000,34.3,42.6,25.6,NA
"360","NRU",2019,24.6,29.5,18.9,NA
"361","NZL",2000,6.1,7.4,3.5,12
"362","NZL",2019,4.1,4.9,2.7,NA
"363",NA,2000,11.38239261,13.69620882,7.061866387,24
"364",NA,2019,5.916369855,6.927123833,3.972662754,NA
"365","OMN",2000,14.2,16.5,7.3,20
"366","OMN",2019,9.5,11.1,4.9,NA
"367",NA,2000,57.85090003,89.55534391,29.79122427,489
"368",NA,2019,36.18894435,48.23527928,22.72921755,NA
"369","PAK",2000,84.6,107.8,56.8,286
"370","PAK",2019,55.7,67.3,41.4,NA
"371","PAN",2000,21.9,26,14.7,91
"372","PAN",2019,12.8,14.8,8.3,NA
"373","PER",2000,29.3,38.2,16.1,144
"374","PER",2019,10.3,13.3,7,NA
"375","PHL",2000,28.7,37.7,16.5,160
"376","PHL",2019,21.5,27.1,12.9,NA
"377","PLW",2000,25.5,28.5,15.4,NA
"378","PLW",2019,16.2,17.4,9.2,NA
"379","PNG",2000,53.6,71.1,30.2,249
"380","PNG",2019,36.2,45.3,22,NA
"381","POL",2000,8.1,9.3,5.8,7
"382","POL",2019,3.8,4.4,2.7,NA
"383",NA,2000,93.17857028,153.3959122,41.08544407,896
"384",NA,2019,53.8361675,79.08113062,28.3435185,NA
"385","PRI",2000,NA,NA,NA,26
"386","PRI",2019,NA,NA,NA,NA
"387","PRK",2000,44.5,60,27.3,139
"388","PRK",2019,13.1,17.3,9.3,NA
"389","PRT",2000,5.5,7.2,3.4,10
"390","PRT",2019,2.8,3.4,1.9,NA
"391","PRY",2000,27.9,33.9,18.1,194
"392","PRY",2019,16.7,19.5,10.4,NA
"393","PSE",2000,25.3,30.4,17.1,70
"394","PSE",2019,14.6,17,10.6,NA
"395",NA,2000,23.28399088,27.98480839,12.17807664,128
"396",NA,2019,20.34113353,24.19148967,10.21505015,NA
"397",NA,2000,6.067370694,7.301705269,3.941240278,12
"398",NA,2019,4.076341636,4.818462326,2.717046187,NA
"399","PYF",2000,NA,NA,NA,NA
"400","PYF",2019,NA,NA,NA,NA
"401","QAT",2000,10.7,12.5,6.6,14
"402","QAT",2019,5.3,6.1,3.7,NA
"403","ROU",2000,18.1,21.6,10.5,54
"404","ROU",2019,5.8,7.1,3.4,NA
"405","RUS",2000,15.5,19.3,9,56
"406","RUS",2019,4.7,5.8,2.6,NA
"407","RWA",2000,109.5,185.2,43.2,1160
"408","RWA",2019,31.1,41.9,18.2,NA
"409",NA,2000,68.6,93.3,46.2,395
"410",NA,2019,33.1,40.3,24.9,NA
"411","SAU",2000,18.8,22,11.5,24
"412","SAU",2019,6.3,7.3,3.6,NA
